txn_id,txn_date,description,amount,dr_cr,balance,normalized_description,transaction_type,type_matched,type_score,type_rule,merchant_name,category
T000316,17/08/24,ACH DR EMI-HDFC BANK ECS,21450.84,DR,-349134.31,ACH DR EMI HDFC BANK ECS,ACH-DR,ACH DR,1,regex,EMI HDFC BANK,Banking
T000385,20/08/24,ACH DR INSURANCE PREMIUM-ICICI PRU,5551.7,DR,-705535.3,ACH DR INSURANCE PREMIUM ICICI PRU,ACH-DR,ACH DR,1,regex,INSURANCE PREMIUM ICICI,Banking
T000458,17/08/24,ACH DR EMI-ICICI BANK ECS,21324.46,DR,-938500.64,ACH DR EMI ICICI BANK ECS,ACH-DR,ACH DR,1,regex,EMI ICICI BANK,Banking
T000540,20/08/24,ACH DR EMI-ICICI BANK ECS,18460.34,DR,-1006970.93,ACH DR EMI ICICI BANK ECS,ACH-DR,ACH DR,1,regex,EMI ICICI BANK,Banking
T000680,20/08/24,ACH DR EMI-HDFC BANK ECS,16662.05,DR,-1078593.11,ACH DR EMI HDFC BANK ECS,ACH-DR,ACH DR,1,regex,EMI HDFC BANK,Banking
T000725,22/08/24,ACH DR INSURANCE PREMIUM-HDFC LIFE,10434.61,DR,-984824.12,ACH DR INSURANCE PREMIUM HDFC LIFE,ACH-DR,ACH DR,1,regex,INSURANCE PREMIUM HDFC,Banking
T000762,22/08/24,ACH DR INSURANCE PREMIUM-ICICI PRU,20730.72,DR,-850346.86,ACH DR INSURANCE PREMIUM ICICI PRU,ACH-DR,ACH DR,1,regex,INSURANCE PREMIUM ICICI,Banking
T000795,20/08/24,ACH DR EMI-SBI ECS,24140.36,DR,-1076637.9,ACH DR EMI SBI ECS,ACH-DR,ACH DR,1,regex,EMI SBI ECS,Banking
T000847,24/08/24,ACH DR INSURANCE PREMIUM-HDFC LIFE,24863.01,DR,-1143246.27,ACH DR INSURANCE PREMIUM HDFC LIFE,ACH-DR,ACH DR,1,regex,INSURANCE PREMIUM HDFC,Banking
T000853,22/08/24,ACH DR EMI-AXIS BANK ECS,7848.03,DR,-1223691.65,ACH DR EMI AXIS BANK ECS,ACH-DR,ACH DR,1,regex,EMI AXIS BANK,Banking
T000866,22/08/24,ACH DR EMI-SBI ECS,4287.23,DR,-1208872.5,ACH DR EMI SBI ECS,ACH-DR,ACH DR,1,regex,EMI SBI ECS,Banking
T000891,25/08/24,ACH DR EMI-SBI ECS,10449.9,DR,-1290105.19,ACH DR EMI SBI ECS,ACH-DR,ACH DR,1,regex,EMI SBI ECS,Banking
T000919,23/08/24,ACH DR INSURANCE PREMIUM-ICICI PRU,3609.49,DR,-1281165.19,ACH DR INSURANCE PREMIUM ICICI PRU,ACH-DR,ACH DR,1,regex,INSURANCE PREMIUM ICICI,Banking
T000923,21/08/24,ACH DR INSURANCE PREMIUM-HDFC LIFE,19158.57,DR,-1303998.59,ACH DR INSURANCE PREMIUM HDFC LIFE,ACH-DR,ACH DR,1,regex,INSURANCE PREMIUM HDFC,Banking
T000945,24/08/24,ACH DR EMI-AXIS BANK ECS,10111.41,DR,-1318056.8,ACH DR EMI AXIS BANK ECS,ACH-DR,ACH DR,1,regex,EMI AXIS BANK,Banking
T000977,21/08/24,ACH DR EMI-ICICI BANK ECS,7197.65,DR,-1443463.07,ACH DR EMI ICICI BANK ECS,ACH-DR,ACH DR,1,regex,EMI ICICI BANK,Banking
T000044,15/08/24,UPI/DR/31687165/GOIBIBO*RECHARGE,4553.12,DR,149781.2,UPI DR 31687165 GOIBIBO RECHARGE,UPI,UPI,1,regex,GOIBIBO RECHARGE,bills
T000066,15/08/24,UPI/DR/69401199/MMT*BILL PAY,3650.42,DR,214423.78,UPI DR 69401199 MMT BILL PAY,UPI,UPI,1,regex,MMT BILL PAY,bills
T000071,15/08/24,UPI/DR/88393811/GOIBIBO*RECHARGE,3894.29,DR,181151.48,UPI DR 88393811 GOIBIBO RECHARGE,UPI,UPI,1,regex,GOIBIBO RECHARGE,bills
T000072,17/08/24,NEFT DR CREDIT CARD PAYMENT,28365.85,DR,152785.63,NEFT DR CREDIT CARD PAYMENT,NEFT,NEFT,1,regex,CARD,bills
T000102,15/08/24,NEFT CR TAX REFUND GOVT,48427.18,CR,89769.38,NEFT CR TAX REFUND GOVT,NEFT,NEFT,1,regex,TAX GOVT,bills
T000123,15/08/24,UPI/DR/69096899/GOIBIBO*RECHARGE,270.48,DR,-54632.02,UPI DR 69096899 GOIBIBO RECHARGE,UPI,UPI,1,regex,GOIBIBO RECHARGE,bills
T000134,15/08/24,NEFT DR CREDIT CARD PAYMENT,30048.3,DR,-108394.08,NEFT DR CREDIT CARD PAYMENT,NEFT,NEFT,1,regex,CARD,bills
T000163,17/08/24,NEFT DR RENT PAYMENT TO LANDLORD,17865.03,DR,-99125.09,NEFT DR RENT PAYMENT TO LANDLORD,NEFT,NEFT,1,regex,RENT LANDLORD,bills
T000185,17/08/24,IMPS/DR/94676162/JIO RECHARGE,374.07,DR,-216642.95,IMPS DR 94676162 JIO RECHARGE,IMPS,IMPS,1,regex,JIO RECHARGE,bills
T000215,16/08/24,IMPS/DR/67192331/JIO RECHARGE,1396.68,DR,-127989.47,IMPS DR 67192331 JIO RECHARGE,IMPS,IMPS,1,regex,JIO RECHARGE,bills
T000227,17/08/24,UPI/DR/96213226/MMT*RECHARGE,5488.86,DR,-78810.44,UPI DR 96213226 MMT RECHARGE,UPI,UPI,1,regex,MMT RECHARGE,bills
T000258,19/08/24,UPI/DR/98043078/AMAZN PAY RECHARGE,1829.8,DR,-250842.58,UPI DR 98043078 AMAZN PAY RECHARGE,UPI,UPI,1,regex,AMAZN PAY RECHARGE,bills
T000260,15/08/24,IMPS/DR/17045237/JIO RECHARGE,2180.34,DR,-253571.43,IMPS DR 17045237 JIO RECHARGE,IMPS,IMPS,1,regex,JIO RECHARGE,bills
T000285,15/08/24,NEFT DR CREDIT CARD PAYMENT,29151.34,DR,-274496.29,NEFT DR CREDIT CARD PAYMENT,NEFT,NEFT,1,regex,CARD,bills
T000290,17/08/24,UPI/DR/94019376/GOIBIBO*RECHARGE,518.04,DR,-293933.41,UPI DR 94019376 GOIBIBO RECHARGE,UPI,UPI,1,regex,GOIBIBO RECHARGE,bills
T000346,18/08/24,UPI/DR/52064387/GOIBIBO*RECHARGE,4757.99,DR,-540520.24,UPI DR 52064387 GOIBIBO RECHARGE,UPI,UPI,1,regex,GOIBIBO RECHARGE,bills
T000425,20/08/24,NEFT DR CREDIT CARD PAYMENT,17932.08,DR,-1001589.35,NEFT DR CREDIT CARD PAYMENT,NEFT,NEFT,1,regex,CARD,bills
T000429,17/08/24,IMPS/DR/23973438/JIO RECHARGE,2261.5,DR,-1028346.08,IMPS DR 23973438 JIO RECHARGE,IMPS,IMPS,1,regex,JIO RECHARGE,bills
T000475,21/08/24,UPI/DR/73154349/AMAZN PAY BILL PAY,4705.46,DR,-1007291.16,UPI DR 73154349 AMAZN PAY BILL PAY,UPI,UPI,1,regex,AMAZN PAY BILL,bills
T000564,18/08/24,UPI/DR/58486337/MMT*RECHARGE,7070.18,DR,-954383.58,UPI DR 58486337 MMT RECHARGE,UPI,UPI,1,regex,MMT RECHARGE,bills
T000581,21/08/24,NEFT DR CREDIT CARD PAYMENT,31919.16,DR,-1058225.83,NEFT DR CREDIT CARD PAYMENT,NEFT,NEFT,1,regex,CARD,bills
T000606,20/08/24,NEFT DR CREDIT CARD PAYMENT,22955.13,DR,-1066979.89,NEFT DR CREDIT CARD PAYMENT,NEFT,NEFT,1,regex,CARD,bills
T000651,19/08/24,IMPS/DR/60874366/JIO RECHARGE,2350.45,DR,-1098715.89,IMPS DR 60874366 JIO RECHARGE,IMPS,IMPS,1,regex,JIO RECHARGE,bills
T000660,21/08/24,NEFT DR CREDIT CARD PAYMENT,24414.09,DR,-1086636.65,NEFT DR CREDIT CARD PAYMENT,NEFT,NEFT,1,regex,CARD,bills
T000708,21/08/24,NEFT DR CREDIT CARD PAYMENT,21234.96,DR,-1058986.15,NEFT DR CREDIT CARD PAYMENT,NEFT,NEFT,1,regex,CARD,bills
T000734,20/08/24,NEFT DR CREDIT CARD PAYMENT,34818.01,DR,-980995.73,NEFT DR CREDIT CARD PAYMENT,NEFT,NEFT,1,regex,CARD,bills
T000743,23/08/24,IMPS/DR/69839130/JIO RECHARGE,2470.58,DR,-824937.02,IMPS DR 69839130 JIO RECHARGE,IMPS,IMPS,1,regex,JIO RECHARGE,bills
T000807,21/08/24,NEFT DR CREDIT CARD PAYMENT,14125.15,DR,-1167951.47,NEFT DR CREDIT CARD PAYMENT,NEFT,NEFT,1,regex,CARD,bills
T000809,21/08/24,UPI/DR/97477181/MMT*RECHARGE,5585.01,DR,-1174032.02,UPI DR 97477181 MMT RECHARGE,UPI,UPI,1,regex,MMT RECHARGE,bills
T000819,23/08/24,UPI/DR/19868991/GOIBIBO*RECHARGE,576.56,DR,-1156987.01,UPI DR 19868991 GOIBIBO RECHARGE,UPI,UPI,1,regex,GOIBIBO RECHARGE,bills
T000823,24/08/24,UPI/DR/91018650/AMAZN PAY BILL PAY,7258.79,DR,-1164824.89,UPI DR 91018650 AMAZN PAY BILL PAY,UPI,UPI,1,regex,AMAZN PAY BILL,bills
T000824,21/08/24,UPI/DR/21606388/GOIBIBO*RECHARGE,6918.26,DR,-1171743.15,UPI DR 21606388 GOIBIBO RECHARGE,UPI,UPI,1,regex,GOIBIBO RECHARGE,bills
T000827,24/08/24,UPI/DR/15376584/AMAZN PAY BILL PAY,413.92,DR,-1196976.09,UPI DR 15376584 AMAZN PAY BILL PAY,UPI,UPI,1,regex,AMAZN PAY BILL,bills
T000846,21/08/24,UPI/DR/93031143/AMAZN PAY BILL PAY,2389.19,DR,-1118383.26,UPI DR 93031143 AMAZN PAY BILL PAY,UPI,UPI,1,regex,AMAZN PAY BILL,bills
T000865,22/08/24,NEFT DR CREDIT CARD PAYMENT,20901.71,DR,-1204585.27,NEFT DR CREDIT CARD PAYMENT,NEFT,NEFT,1,regex,CARD,bills
T000888,23/08/24,UPI/DR/69586748/GOIBIBO*RECHARGE,2431.13,DR,-1278720.75,UPI DR 69586748 GOIBIBO RECHARGE,UPI,UPI,1,regex,GOIBIBO RECHARGE,bills
T000900,24/08/24,UPI/DR/50673953/MMT*RECHARGE,1205.73,DR,-1313837.15,UPI DR 50673953 MMT RECHARGE,UPI,UPI,1,regex,MMT RECHARGE,bills
T000901,25/08/24,NEFT DR CREDIT CARD PAYMENT,23844.6,DR,-1337681.75,NEFT DR CREDIT CARD PAYMENT,NEFT,NEFT,1,regex,CARD,bills
T000927,23/08/24,UPI/DR/52478561/MMT*RECHARGE,5509.5,DR,-1321354.22,UPI DR 52478561 MMT RECHARGE,UPI,UPI,1,regex,MMT RECHARGE,bills
T000929,23/08/24,UPI/DR/42168745/GOIBIBO*RECHARGE,2577.76,DR,-1336585.78,UPI DR 42168745 GOIBIBO RECHARGE,UPI,UPI,1,regex,GOIBIBO RECHARGE,bills
T000942,24/08/24,UPI/DR/45729141/AMAZN PAY RECHARGE,3149.28,DR,-1311198.24,UPI DR 45729141 AMAZN PAY RECHARGE,UPI,UPI,1,regex,AMAZN PAY RECHARGE,bills
T000997,22/08/24,NEFT DR CREDIT CARD PAYMENT,19093.42,DR,-1356765.42,NEFT DR CREDIT CARD PAYMENT,NEFT,NEFT,1,regex,CARD,bills
T000180,18/08/24,UPI/CR/48530827/CASHBACK GPAY,3078.89,CR,-187978.12,UPI CR 48530827 CASHBACK GPAY,UPI,UPI,1,regex,CASHBACK GPAY,cashback
T000246,19/08/24,UPI/CR/54699966/CASHBACK AMAZON PAY,753.21,CR,-187685.68,UPI CR 54699966 CASHBACK AMAZON PAY,UPI,UPI,1,regex,CASHBACK AMAZON PAY,cashback
T000421,20/08/24,UPI/CR/39368039/CASHBACK AMAZON PAY,13.41,CR,-973318.89,UPI CR 39368039 CASHBACK AMAZON PAY,UPI,UPI,1,regex,CASHBACK AMAZON PAY,cashback
T000524,18/08/24,UPI/CR/29505421/CASHBACK GPAY,1007.51,CR,-976540.52,UPI CR 29505421 CASHBACK GPAY,UPI,UPI,1,regex,CASHBACK GPAY,cashback
T000532,21/08/24,UPI/CR/53302669/CASHBACK PAYTM,2457.85,CR,-962697.97,UPI CR 53302669 CASHBACK PAYTM,UPI,UPI,1,regex,CASHBACK PAYTM,cashback
T000542,18/08/24,UPI/CR/33889703/CASHBACK GPAY,2879.06,CR,-1007681.87,UPI CR 33889703 CASHBACK GPAY,UPI,UPI,1,regex,CASHBACK GPAY,cashback
T000587,18/08/24,UPI/CR/63762374/CASHBACK GPAY,812.08,CR,-1073803.94,UPI CR 63762374 CASHBACK GPAY,UPI,UPI,1,regex,CASHBACK GPAY,cashback
T000696,20/08/24,UPI/CR/13516265/CASHBACK PHONEPE,2985.84,CR,-983881.67,UPI CR 13516265 CASHBACK PHONEPE,UPI,UPI,1,regex,CASHBACK PHONEPE,cashback
T000722,22/08/24,UPI/CR/72395893/CASHBACK PHONEPE,3999.83,CR,-962692.49,UPI CR 72395893 CASHBACK PHONEPE,UPI,UPI,1,regex,CASHBACK PHONEPE,cashback
T000878,22/08/24,UPI/CR/14401363/CASHBACK GPAY,2350.72,CR,-1234891.76,UPI CR 14401363 CASHBACK GPAY,UPI,UPI,1,regex,CASHBACK GPAY,cashback
T000922,24/08/24,UPI/CR/21264832/CASHBACK PAYTM,4337.19,CR,-1284840.02,UPI CR 21264832 CASHBACK PAYTM,UPI,UPI,1,regex,CASHBACK PAYTM,cashback
T000944,23/08/24,UPI/CR/45138129/CASHBACK AMAZON PAY,4537.57,CR,-1307945.39,UPI CR 45138129 CASHBACK AMAZON PAY,UPI,UPI,1,regex,CASHBACK AMAZON PAY,cashback
T000039,17/08/24,POS SALE AT WESTSIDE STORE,9252.83,DR,131004.67,POS SALE AT WESTSIDE STORE,CARD,POS,1,regex,WESTSIDE STORE,clothes
T000057,15/08/24,POS SALE AT WESTSIDE STORE,10070.01,DR,246515.16,POS SALE AT WESTSIDE STORE,CARD,POS,1,regex,WESTSIDE STORE,clothes
T000058,15/08/24,ACH DR INSURANCE PREMIUM-MAX LIFE,11341.2,DR,235173.96,ACH DR INSURANCE PREMIUM MAX LIFE,ACH-DR,ACH DR,1,regex,MAX LIFE,clothes
T000075,15/08/24,ACH DR INSURANCE PREMIUM-MAX LIFE,8723.44,DR,133563.15,ACH DR INSURANCE PREMIUM MAX LIFE,ACH-DR,ACH DR,1,regex,MAX LIFE,clothes
T000092,15/08/24,POS PURCHASE RELIANCE TRENDS,3611.96,DR,76533.2,POS PURCHASE RELIANCE TRENDS,CARD,POS,1,regex,RELIANCE TRENDS,clothes
T000094,15/08/24,POS 2647 SWIPE AT WESTSIDE STORE,3566.75,DR,71511.6,POS 2647 SWIPE AT WESTSIDE STORE,CARD,POS,1,regex,WESTSIDE STORE,clothes
T000237,19/08/24,POS 2586 SWIPE AT WESTSIDE STORE,14191.7,DR,-172527.38,POS 2586 SWIPE AT WESTSIDE STORE,CARD,POS,1,regex,WESTSIDE STORE,clothes
T000249,15/08/24,POS SALE AT WESTSIDE STORE,11991.97,DR,-219175.66,POS SALE AT WESTSIDE STORE,CARD,POS,1,regex,WESTSIDE STORE,clothes
T000255,17/08/24,POS SALE AT WESTSIDE STORE,3528.03,DR,-246680.03,POS SALE AT WESTSIDE STORE,CARD,POS,1,regex,WESTSIDE STORE,clothes
T000257,15/08/24,POS 6654 SWIPE AT WESTSIDE STORE,822.58,DR,-249012.78,POS 6654 SWIPE AT WESTSIDE STORE,CARD,POS,1,regex,WESTSIDE STORE,clothes
T000278,18/08/24,POS SALE AT WESTSIDE STORE,10904.55,DR,-230122.81,POS SALE AT WESTSIDE STORE,CARD,POS,1,regex,WESTSIDE STORE,clothes
T000283,19/08/24,POS 1056 SWIPE AT WESTSIDE STORE,7052.46,DR,-242849.15,POS 1056 SWIPE AT WESTSIDE STORE,CARD,POS,1,regex,WESTSIDE STORE,clothes
T000495,19/08/24,POS 3862 SWIPE AT WESTSIDE STORE,5531.18,DR,-1054353.76,POS 3862 SWIPE AT WESTSIDE STORE,CARD,POS,1,regex,WESTSIDE STORE,clothes
T000727,21/08/24,POS SALE AT WESTSIDE STORE,8561.15,DR,-996528.73,POS SALE AT WESTSIDE STORE,CARD,POS,1,regex,WESTSIDE STORE,clothes
T000731,21/08/24,POS SALE AT WESTSIDE STORE,2790.19,DR,-950679.02,POS SALE AT WESTSIDE STORE,CARD,POS,1,regex,WESTSIDE STORE,clothes
T000849,20/08/24,POS SALE AT WESTSIDE STORE,1998.05,DR,-1198505.28,POS SALE AT WESTSIDE STORE,CARD,POS,1,regex,WESTSIDE STORE,clothes
T000913,23/08/24,POS SALE AT WESTSIDE STORE,7668.67,DR,-1237503.77,POS SALE AT WESTSIDE STORE,CARD,POS,1,regex,WESTSIDE STORE,clothes
T000001,17/08/24,UPI/DR/46913810/PAID TO AKASH/OKHDFCBANK,3415.83,DR,81584.17,UPI DR 46913810 PAID TO AKASH OKHDFCBANK,UPI,UPI,1,regex,AKASH OKHDFCBANK,digital payments
T000002,17/08/24,IMPS/CR/14265799/CLIENT PAYMENT,14838.71,CR,96422.88,IMPS CR 14265799 CLIENT PAYMENT,IMPS,IMPS,1,regex,CLIENT PAYMENT,digital payments
T000012,17/08/24,NEFT DR CREDIT CARD PAYMENT,24614.65,DR,119587.86,NEFT DR CREDIT CARD PAYMENT,NEFT,NEFT,1,regex,CARD,digital payments
T000016,15/08/24,UPI/DR/96028436/PAID TO RAJESH KUMAR/AXISBANK,874.97,DR,102058.85,UPI DR 96028436 PAID TO RAJESH KUMAR AXISBANK,UPI,UPI,1,regex,RAJESH KUMAR AXISBANK,digital payments
T000021,16/08/24,IMPS/CR/19289546/CLIENT PAYMENT,10777.62,CR,98179.69,IMPS CR 19289546 CLIENT PAYMENT,IMPS,IMPS,1,regex,CLIENT PAYMENT,digital payments
T000022,15/08/24,UPI/DR/80823176/PAID TO NEHA M/SBIBANK,2055.06,DR,96124.63,UPI DR 80823176 PAID TO NEHA M SBIBANK,UPI,UPI,1,regex,SBIBANK,digital payments
T000024,15/08/24,IMPS/CR/40885476/CLIENT PAYMENT,8194.69,CR,102405.45,IMPS CR 40885476 CLIENT PAYMENT,IMPS,IMPS,1,regex,CLIENT PAYMENT,digital payments
T000025,15/08/24,UPI/DR/14216175/PAID TO NEHA M/SBIBANK,3377.99,DR,99027.46,UPI DR 14216175 PAID TO NEHA M SBIBANK,UPI,UPI,1,regex,SBIBANK,digital payments
T000026,15/08/24,UPI/DR/86644106/PAID TO POOJA R/AXISBANK,1033.01,DR,97994.45,UPI DR 86644106 PAID TO POOJA R AXISBANK,UPI,UPI,1,regex,POOJA R AXISBANK,digital payments
T000028,16/08/24,NEFT CR SALARY-TCS PVT LTD,92104.42,CR,179933.07,NEFT CR SALARY TCS PVT LTD,NEFT,NEFT,1,regex,TCS PVT LTD,digital payments
T000054,17/08/24,UPI/CR/68326160/CASHBACK PAYTM,2187.61,CR,116638.35,UPI CR 68326160 CASHBACK PAYTM,UPI,UPI,1,regex,PAYTM,digital payments
T000069,15/08/24,UPI/DR/52910691/PAID TO AKASH/ICICIBANK,1233.18,DR,185450.87,UPI DR 52910691 PAID TO AKASH ICICIBANK,UPI,UPI,1,regex,AKASH ICICIBANK,digital payments
T000078,15/08/24,UPI/DR/43189803/PAID TO AKASH/ICICIBANK,718.48,DR,124983.01,UPI DR 43189803 PAID TO AKASH ICICIBANK,UPI,UPI,1,regex,AKASH ICICIBANK,digital payments
T000083,15/08/24,IMPS/DR/11698142/PHONEPE QR,1357.22,DR,109327.25,IMPS DR 11698142 PHONEPE QR,UPI,PHONEPE,1,regex,PHONEPE,digital payments
T000118,16/08/24,UPI/CR/65692629/CASHBACK PAYTM,4104.54,CR,-8369.83,UPI CR 65692629 CASHBACK PAYTM,UPI,UPI,1,regex,PAYTM,digital payments
T000127,16/08/24,UPI/DR/50193656/PAID TO SUNITA D/OKHDFCBANK,1537.5,DR,-68245.76,UPI DR 50193656 PAID TO SUNITA D OKHDFCBANK,UPI,UPI,1,regex,SUNITA D OKHDFCBANK,digital payments
T000143,18/08/24,UPI/DR/41514326/PAID TO AMIT SHAH/AXISBANK,1917.96,DR,-131737.82,UPI DR 41514326 PAID TO AMIT SHAH AXISBANK,UPI,UPI,1,regex,AMIT SHAH AXISBANK,digital payments
T000147,18/08/24,UPI/DR/38468360/PAID TO SUNITA D/ICICIBANK,4945.22,DR,-77247.22,UPI DR 38468360 PAID TO SUNITA D ICICIBANK,UPI,UPI,1,regex,SUNITA D ICICIBANK,digital payments
T000150,17/08/24,UPI/DR/41934639/PAID TO AKASH/SBIBANK,356.76,DR,-79952.56,UPI DR 41934639 PAID TO AKASH SBIBANK,UPI,UPI,1,regex,AKASH SBIBANK,digital payments
T000167,15/08/24,IMPS/DR/65590800/PHONEPE QR,1101,DR,-110699.45,IMPS DR 65590800 PHONEPE QR,UPI,PHONEPE,1,regex,PHONEPE QR,digital payments
T000179,17/08/24,IMPS/DR/46866075/PHONEPE QR,1000.18,DR,-191057.01,IMPS DR 46866075 PHONEPE QR,UPI,PHONEPE,1,regex,PHONEPE QR,digital payments
T000199,17/08/24,UPI/DR/23298711/PAID TO AKASH/OKHDFCBANK,1505.71,DR,-130555.98,UPI DR 23298711 PAID TO AKASH OKHDFCBANK,UPI,UPI,1,regex,AKASH OKHDFCBANK,digital payments
T000231,16/08/24,UPI/DR/50644430/PAID TO AKASH/KOTAKBANK,4713.87,DR,-106239.68,UPI DR 50644430 PAID TO AKASH KOTAKBANK,UPI,UPI,1,regex,AKASH KOTAKBANK,digital payments
T000241,18/08/24,IMPS/DR/97813295/PAYTM MERCHNT QR,2556.8,DR,-181088.87,IMPS DR 97813295 PAYTM MERCHNT QR,UPI,PAYTM,1,regex,PAYTM MERCHNT QR,digital payments
T000252,19/08/24,UPI/DR/52103092/PAID TO AMIT SHAH/ICICIBANK,2110.85,DR,-230314.2,UPI DR 52103092 PAID TO AMIT SHAH ICICIBANK,UPI,UPI,1,regex,AMIT SHAH ICICIBANK,digital payments
T000269,16/08/24,UPI/DR/99826000/PAID TO AKASH/AXISBANK,1685.65,DR,-328956.25,UPI DR 99826000 PAID TO AKASH AXISBANK,UPI,UPI,1,regex,AKASH AXISBANK,digital payments
T000277,19/08/24,IMPS/DR/22205980/PAYTM MERCHNT QR,1414.95,DR,-219218.26,IMPS DR 22205980 PAYTM MERCHNT QR,UPI,PAYTM,1,regex,PAYTM MERCHNT QR,digital payments
T000282,19/08/24,UPI/DR/98824290/PAID TO SUNITA D/OKHDFCBANK,974.52,DR,-235796.69,UPI DR 98824290 PAID TO SUNITA D OKHDFCBANK,UPI,UPI,1,regex,SUNITA D OKHDFCBANK,digital payments
T000348,19/08/24,UPI/DR/50987410/PAID TO SUNITA D/ICICIBANK,2603.04,DR,-546082.32,UPI DR 50987410 PAID TO SUNITA D ICICIBANK,UPI,UPI,1,regex,SUNITA D ICICIBANK,digital payments
T000350,18/08/24,UPI/DR/48766747/PAID TO SUNITA D/AXISBANK,3135.11,DR,-552715.25,UPI DR 48766747 PAID TO SUNITA D AXISBANK,UPI,UPI,1,regex,SUNITA D AXISBANK,digital payments
T000400,16/08/24,UPI/DR/22828128/PAID TO AMIT SHAH/OKHDFCBANK,3000.29,DR,-805786.13,UPI DR 22828128 PAID TO AMIT SHAH OKHDFCBANK,UPI,UPI,1,regex,AMIT SHAH OKHDFCBANK,digital payments
T000408,16/08/24,UPI/DR/39835008/PAID TO AMIT SHAH/SBIBANK,3462.8,DR,-863887.91,UPI DR 39835008 PAID TO AMIT SHAH SBIBANK,UPI,UPI,1,regex,AMIT SHAH SBIBANK,digital payments
T000413,19/08/24,IMPS/DR/76960098/PAYTM MERCHNT QR,354.39,DR,-874414.21,IMPS DR 76960098 PAYTM MERCHNT QR,UPI,PAYTM,1,regex,PAYTM MERCHNT QR,digital payments
T000434,17/08/24,UPI/DR/45047967/PAID TO SUNITA D/ICICIBANK,4450.86,DR,-1041708.4,UPI DR 45047967 PAID TO SUNITA D ICICIBANK,UPI,UPI,1,regex,SUNITA D ICICIBANK,digital payments
T000439,18/08/24,IMPS/DR/74468586/PAYTM MERCHNT QR,700.16,DR,-1053309.29,IMPS DR 74468586 PAYTM MERCHNT QR,UPI,PAYTM,1,regex,PAYTM MERCHNT QR,digital payments
T000453,17/08/24,UPI/DR/91692326/PAID TO AMIT SHAH/SBIBANK,3483.52,DR,-885871.38,UPI DR 91692326 PAID TO AMIT SHAH SBIBANK,UPI,UPI,1,regex,AMIT SHAH SBIBANK,digital payments
T000455,20/08/24,UPI/DR/75984013/PAID TO AKASH/SBIBANK,4873.68,DR,-903042.37,UPI DR 75984013 PAID TO AKASH SBIBANK,UPI,UPI,1,regex,AKASH SBIBANK,digital payments
T000464,18/08/24,UPI/DR/11194267/PAID TO AKASH/KOTAKBANK,4024.24,DR,-955826.99,UPI DR 11194267 PAID TO AKASH KOTAKBANK,UPI,UPI,1,regex,AKASH KOTAKBANK,digital payments
